Classifier,Subject,Accuracy,Precision,Recall,F1-score,Kappa
EA+CSP+LDA,1,49.4%,48.8%,49.4%,42.5%,-0.012
EA+CSP+SVM,1,49.4%,49.1%,49.4%,44.9%,-0.012
EA+CSP+LDA,2,51.4%,51.4%,51.4%,51.3%,0.029
EA+CSP+SVM,2,48.8%,48.7%,48.8%,48.2%,-0.025
EA+CSP+LDA,3,49.8%,49.8%,49.8%,48.7%,-0.003
EA+CSP+SVM,3,49.8%,49.8%,49.8%,44.8%,-0.003
EA+CSP+LDA,4,48.8%,48.7%,48.8%,48.7%,-0.025
EA+CSP+SVM,4,48.8%,48.7%,48.8%,48.7%,-0.025
EA+CSP+LDA,5,50.9%,51.2%,50.9%,48.0%,0.019
EA+CSP+SVM,5,51.6%,51.9%,51.6%,49.3%,0.031
EA+CSP+LDA,6,50.3%,50.4%,50.3%,48.7%,0.006
EA+CSP+SVM,6,50.8%,50.8%,50.8%,50.3%,0.016
EA+CSP+LDA,7,49.8%,49.8%,49.8%,47.9%,-0.003
EA+CSP+SVM,7,50.9%,51.0%,50.9%,49.8%,0.019
EA+CSP+LDA,8,50.0%,50.0%,50.0%,49.7%,0.000
EA+CSP+SVM,8,48.9%,48.9%,48.9%,48.9%,-0.022
EA+CSP+LDA,9,48.6%,48.5%,48.6%,48.2%,-0.028
EA+CSP+SVM,9,48.4%,48.4%,48.4%,48.2%,-0.031
